code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
WFT,1,1,Content competencies gathers training content.,1.01,Needs assessment,Supports needs assessment activities,Conducts needs assessments,Develops needs assessment tools,Prioritizes training needs based on needs assessments,N/A
WFT,1,1,Content competencies gathers training content.,1.02,Adult learning methodologies,Explains adult learning methodologies,Selects principles and method- ologies which underpin adult learning,Integrates principles of adult learning for use in designing training,Ensures that adult learning prin- ciples are applied in designing training,N/A
WFT,1,1,Content competencies gathers training content.,1.03,Subject matter expertise,Employs subject matter knowl- edge in order to train entry-level staff,Implements established science and technology content,Develops emerging science and technology content,Collaborates with national and international scientific communi- ties to create new knowledge on subject matters,N/A
WFT,1,1,Content competencies gathers training content.,1.04,Training topics,Researches emerging training topics,Implements training for emerging training topics,Designs training for emerging training topics,Identifies emerging training topics with national and international scientific communities,N/A
WFT,1,1,Content competencies gathers training content.,1.05,Incorporation of subject matter expertise into training activities,Explains requirements for the use of subject matter experts,Collaborates with subject matter experts to gather content,Develops new processes to capture subject matter expertise,Identifies emerging processes to capture subject matter expertise,N/A
WFT,1,2,Training design competencies ensures trainings are developed with intention.,2.04,Cultural awareness,Explains cultural awareness and its importance as it relates to developing training activities,Applies cultural awareness prin- ciples when designing training activities,Evaluates the incorporation of cultural awareness principles into training activities,Ensures incorporation of cultural awareness principles into training activities,N/A
WFT,1,2,Training design competencies ensures trainings are developed with intention.,2.05,Instructional materials preparation,Assembles instructional materials,Prepares instructional materials for existing programs,Develops instructional materials for new programs that are aligned with the type of training activity and modality,Incorporates industry-wide instructional materials into the training program,N/A
WFT,1,2,Training design competencies ensures trainings are developed with intention.,2.06,Training materials application,Uses pre-existing training materi- als to design simple training,Integrates multiple types of train- ing materials into training design,Develops training materials from institutional resources,Evaluates training materials from institutional resources,N/A
WFT,1,2,Training design competencies ensures trainings are developed with intention.,2.07,Training exercises,Delivers exercises within a train- ing session,Integrates individual training lessons  including experiential exercises,Evaluates training exercises,Designs integrated training exer- cises with partners,N/A
WFT,1,2,Training design competencies ensures trainings are developed with intention.,2.08,Formative assessment,Explains formative assessment,Employs formative assessments,Creates formative assessments,Evaluates effectiveness of forma- tive assessments,N/A
WFT,1,2,Training design competencies ensures trainings are developed with intention.,2.09,Continuing education,Explains the requirements of the continuing education provider,Follows continuing education provider requirements when con- ducting training,Selects continuing education provider for new learning activities,Oversees the continuing educa- tion provider process,N/A
WFT,1,3,Delivery set-up competencies ensure management of the logistics of set-up for training delivery.,3.01,Equipment preparation for training delivery,Operates equipment needed to deliver training,Troubleshoots training equipment,Ensures that equipment capa- bility aligns with the training requirements,Oversees processes for upgrading training equipment,N/A
WFT,1,3,Delivery set-up competencies ensure management of the logistics of set-up for training delivery.,3.02,eLearning,Tests eLearning courses,Creates supporting materials or content for storyboards,Develops storyboards for new courses using subject matter expert materials,Ensures that eLearning delivery systems are available,N/A
WFT,1,3,Delivery set-up competencies ensure management of the logistics of set-up for training delivery.,3.03,Learning environment,Provides support for learning environment processes,Manages processes of the learn- ing environment,Develops processes to manage the learning environment,Oversees the processes for the learning environment,N/A
WFT,1,4,Training delivery competencies apply principles of learning to training implementation and delivery.,4.01,Learning preferences and styles,Explains presentation materials for different learning preferences and styles,Differentiates presentation mate- rials to address learning prefer- ences and styles,Develops presentation materials to address learning preferences and styles,Creates strategies to address learning preferences and styles,N/A
WFT,1,4,Training delivery competencies apply principles of learning to training implementation and delivery.,4.02,Presentation engagement,Explains the most effective pre- sentation tools and techniques,Uses the most effective presenta- tion tools and techniques,Ensures implementation of the most effective presentation tools and techniques,Oversees presentation engage- ment strategies,N/A
WFT,1,5,Training evaluation competencies evaluate learner knowledge and skill development.,5.01,Training evaluation process,Lists the steps the organization undertakes for training program evaluation,Carries out the evaluation steps for standard training evaluations for routine courses,Develops training evaluation tools for a new activity,Oversees the evaluation of the training process for the organization,N/A
WFT,1,5,Training evaluation competencies evaluate learner knowledge and skill development.,5.02,Delivery of the evaluation,Contributes to development of a training assessment rubric to ensure training outcomes are met,Implements the training assess- ment rubric to ensure training outcomes are met,Creates a training assessment rubric to ensure training out- comes are met,Evaluates the training assess- ment rubric to ensure training outcomes are met,N/A
WFT,1,5,Training evaluation competencies evaluate learner knowledge and skill development.,5.03,Training reports,Gathers data as directed for sum- mative training reports,Compiles tracking data into sum- mative training reports,Develops summative training reporting tools,Interprets summative data from reports for delivery to stakeholders,N/A
WFT,1,5,Training evaluation competencies evaluate learner knowledge and skill development.,5.04,Training activity effectiveness,Shares training activity observa- tions with supervisor,Assesses participants’ achieve- ment of training objectives,Recommends improvements based on evaluation data from training assessment tools,Implements improvements to the professional development activi- ties of the laboratory,N/A
WFT,1,5,Training evaluation competencies evaluate learner knowledge and skill development.,5.05,Continuous improvement of the training program,Participates in continuous improvement activities,Identifies activities leading to the continuous improvement of a training plan,Facilitates activities leading to the continuous improvement of a training plan,Develops a training program improvement plan based on program evaluation,N/A
WFT,1,6,Marketing competencies ensure training opportunities are adeqately marketed.,6.01,Marketing,Participates in the marketing of training,Composes content for marketing materials,Develops organizational market- ing plan for training,Manages the training marketing plan,N/A
