code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
SAC,1,1,Safety program management competencies ensure management of the laboratory safety program.,1.01,Safety program,Complies with the safety program requirements for the jobs performed,Ensures staff compliance with safety program requirements,Implements the safety program and related training programs,Ensures that comprehensive safety policies  processes and procedures are developed as part of the safety program,N/A
SAC,1,1,Safety program management competencies ensure management of the laboratory safety program.,1.02,Program audits,Participates in audits of the safety program,Conducts audits of the safety program,Designs safety program audits,Evaluates the safety program audit results to identify problem areas,N/A
SAC,1,1,Safety program management competencies ensure management of the laboratory safety program.,1.03,Safety inspections,Explains the importance of safety inspections,Participates in safety inspections,Conducts safety inspections,Ensures staff compliance with safety inspections,N/A
SAC,1,1,Safety program management competencies ensure management of the laboratory safety program.,1.04,Program evaluation,Provides feedback on the safety program,Collects data relating to the effec- tiveness of the safety program,Prepares evaluation reports for the safety program,Designs evaluation reports for the safety program,N/A
SAC,1,2,Guideline and regulation compliance competencies ensure staff compliance with guidelines and regulations.,2.01,Regulatory requirements and guidelines,Describes current regulatory requirements and guidelines governing the safe performance of laboratory procedures,Complies with current regulatory requirements and guidelines governing the safe performance of laboratory procedures,Instructs staff on current regula- tory requirements and guidelines governing the safe performance of laboratory procedures,Ensures staff compliance with current regulatory requirements and guidelines governing the safe performance of laboratory procedures,N/A
SAC,1,2,Guideline and regulation compliance competencies ensure staff compliance with guidelines and regulations.,2.02,Institutional safety committees,Describes institutional safety committees,Complies with institutional safety committee requirements,Participates in a leadership role on institutional safety committees,Ensures staff compliance with institutional safety committee requirements,N/A
SAC,1,3,Risk management competencies ensure risks are managed through systematic practices to evaluate  minimize or eliminate them.,3.01,Risk assessment*,Describes the risk assessment process,Implements control measures identified in risk assessments,Manages the risk assessment process,Oversees the policies  processes and procedures related to risk assessment to ensure controls are appropriate for activities  agents and materials used in laboratory,N/A
SAC,1,3,Risk management competencies ensure risks are managed through systematic practices to evaluate  minimize or eliminate them.,3.02,Incident reporting,Reports any incidents  including near-misses,Reviews reports of incidents to identify root causes and problems,Conducts routine monitoring of staff compliance regarding inci- dent reporting,Designs policies  processes and procedures for reporting and performing root-cause analyses of incidents,N/A
SAC,1,4,Occupational health and medical surveillance competencies ensure compliance with occupational health and medical surveillance policies.,4.01,Vaccination program,Describes the organization’s vac- cination program,Identifies staff eligible to partici- pate in the vaccination program,Monitors staff compliance with the vaccination program,Designs the vaccination program based on exposure risks and regulatory requirements,N/A
SAC,1,4,Occupational health and medical surveillance competencies ensure compliance with occupational health and medical surveillance policies.,4.02,Medical surveillance program,Describes the organization’s medical surveillance program,Identifies staff eligible to partici- pate in the medical surveillance program,Monitors staff compliance with the medical surveillance program,Designs the medical surveil- lance program based on risks encountered and regulatory requirements,N/A
SAC,1,4,Occupational health and medical surveillance competencies ensure compliance with occupational health and medical surveillance policies.,4.03,Exposure monitoring,Describes exposure monitoring procedures,Complies with exposure monitor- ing procedures,Ensures staff compliance with exposure monitoring policies and processes,Develops the exposure monitor- ing policies and processes based on risks encountered and regula- tory requirements,N/A
SAC,1,4,Occupational health and medical surveillance competencies ensure compliance with occupational health and medical surveillance policies.,4.04,Occupational incidents,Identifies the process to obtain medical services after an occupa- tional incident,Complies with organizational requirements and healthcare pro- vider treatment plans pertaining to an occupational incident,Prepares summary of occupa- tional incidents,Develops occupational incident response plan including regular review and revisions following an occupational incident,N/A
