code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
GEN,1,1,General technical and laboratory practice knowledge competencies demonstrate general knowledge and skills related to the scientific and technical components of,1.01,General scientific and laboratory concepts and theories,Applies basic scientific and laboratory concepts and theories related to the specific testing that is conducted in work area,Instructs others in concepts and theories related to the specific testing that is conducted in work area,Ensures that accepted concepts and theories are applied to labo- ratory testing,Oversees that laboratory prac- tices are in accordance with accepted scientific and laboratory concepts and theories,N/A
GEN,1,1,General technical and laboratory practice knowledge competencies demonstrate general knowledge and skills related to the scientific and technical components of,1.02,Mathematical and statistical concepts and practices,Applies fundamental mathemat- ical and statistical concepts and practices in work area,Explains to others the fundamen- tal mathematical and statistical concepts and practices,Ensures appropriate utilization of mathematical and statistical concepts and practices,Oversees the policies  processes and procedures regarding the use of mathematical and statistical concepts and practices,N/A
GEN,1,1,General technical and laboratory practice knowledge competencies demonstrate general knowledge and skills related to the scientific and technical components of,1.03,Scientific and technologicaladvances,Reads scientific and technical literature relevant to own work,Discusses scientific and technical advances relevant to own work,Integrates scientific and tech- nical advances into laboratory operations,Critiques scientific and technolog- ical advances to evaluate possible impact for the laboratory,N/A
GEN,1,1,General technical and laboratory practice knowledge competencies demonstrate general knowledge and skills related to the scientific and technical components of,1.04,Technical skills,Applies basic laboratory tech- niques to laboratory testing,Integrates basic laboratory tech- niques into standard operating procedures and new laboratory practices,Ensures that staff are properly trained in the performance of technical skills,Oversees the application of tech- nical skills to laboratory practices,N/A
GEN,1,1,General technical and laboratory practice knowledge competencies demonstrate general knowledge and skills related to the scientific and technical components of,1.05,Troubleshooting,Identifies routine problems related to technical duties and responsibilities,Resolves routine technical prob- lems with methods  procedures and laboratory equipment  including documenting corrective action,Resolves complex technical problems with methods  proce- dures and laboratory equipment  including documenting corrective action,Oversees the policies  processes and procedures related to trou- bleshooting technical problems,N/A
GEN,1,1,General technical and laboratory practice knowledge competencies demonstrate general knowledge and skills related to the scientific and technical components of,1.06,Model laboratory practices,Applies knowledge of model labo- ratory practices,Explains to others model labora- tory practices,Implements model laboratory practices,Manages policies  processes and procedures to ensure staff comply with model laboratory practices,N/A
GEN,1,1,General technical and laboratory practice knowledge competencies demonstrate general knowledge and skills related to the scientific and technical components of,1.07,Documentation,Documents actions and results using established paper or elec- tronic systems,Explains the use of paper or electronic methods or systems for documentation,Ensures utilization of established paper and electronic documenta- tion methods or systems,Oversees the policies  pro- cesses and procedures for the creation and use of paper and electronic methods or systems for documentation,N/A
GEN,1,1,General technical and laboratory practice knowledge competencies demonstrate general knowledge and skills related to the scientific and technical components of,1.08,Management of resources,Acts as a good steward of all funds and resources,Identifies methods to improve management of resources,Ensures that the use of public funds and resources meet the policies for management,Oversees the policies  processes and procedures to ensure the environment supports effective management of resources,N/A
GEN,1,1,General technical and laboratory practice knowledge competencies demonstrate general knowledge and skills related to the scientific and technical components of,1.09,Scientific ethics,Applies scientific ethics and rules of conduct to the workplace,Serves as a role model  consis- tently conforming to the highest scientific standards and practices,Ensures staff compliance with the policies and procedures related to scientific ethics and rules of conduct,Oversees the policies  processes and procedures related to scien- tific ethics and rules of conduct,N/A
GEN,1,2,Reagent use and storage competencies ensure adherence to policies and principles regarding the use and storage of laboratory reagents and supplies.,2.01,Use and storage of reagents and supplies,Adheres to policies  processes and procedures for use and storage of reagents and supplies,Explains the use and storage of reagents and supplies,Ensures staff compliance with policies  processes and pro- cedures for use and storage of reagents and supplies,Oversees the use and storage of reagents and supplies,N/A
GEN,1,2,Reagent use and storage competencies ensure adherence to policies and principles regarding the use and storage of laboratory reagents and supplies.,2.02,Reagent preparation,Adheres to policies  processes and procedures for preparing reagents,Explains reagent preparation,Ensures staff compliance with policies  processes and proce- dures for reagent preparation,Oversees the policies  processes and procedures for reagent preparation,N/A
GEN,1,3,Equipment use competencies ensure adherence to policies and principles regarding the use  maintenance  and calibration of laboratory equipment.,3.01,Equipment operation,Adheres to policies  processes and procedures for operating laboratory equipment,Explains the operation of labora- tory equipment,Ensures staff compliance with policies  processes and proce- dures for the operation of labora- tory equipment,Oversees the policies  processes and procedures for the operation of laboratory equipment,N/A
