code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
CHM,1,1,Concepts and techniques competencies ensure application of knowledge of chemical concepts and techniques to studies of biological and environmental matrices.,1.01,Chemical properties,Applies knowledge of the proper- ties of matter to assist in chemi- cal analyses,Integrates knowledge of the prop- erties of matter into new chemical analyses,Differentiates chemical properties to improve chemical analyses,Integrates new understandings of chemical properties to address occupational exposures or envi- ronmental or other health issues,N/A
CHM,1,1,Concepts and techniques competencies ensure application of knowledge of chemical concepts and techniques to studies of biological and environmental matrices.,1.02,Chemical concepts,Describes chemical concepts,Applies chemical concepts to analyses,Differentiates chemical concepts in analyses,Formulates new chemical con- cepts to improve determinations,N/A
CHM,1,1,Concepts and techniques competencies ensure application of knowledge of chemical concepts and techniques to studies of biological and environmental matrices.,1.03,Laboratory statistics,Explains statistical concepts and practices,Collects data for and performs statistical analyses,Evaluates summarized data for statistical analyses,Oversees the development and use of statistical programs,N/A
CHM,1,1,Concepts and techniques competencies ensure application of knowledge of chemical concepts and techniques to studies of biological and environmental matrices.,1.04,Equations and calculations,Performs chemical calculations,Explains the performance of chemical calculations,Determines when and which chemical equations and calcula- tions are needed,Oversees the use and interpreta- tion of chemical equations and calculations,N/A
CHM,1,1,Concepts and techniques competencies ensure application of knowledge of chemical concepts and techniques to studies of biological and environmental matrices.,1.05,Measurements,Performs measurements and unit conversion calculations,Explains measurements and unit conversion calculations,Determines the needed accuracy and precision of measurements,Develops processes and proce- dures to maximize the accuracy and precision of measurements and techniques,N/A
CHM,1,2,Facilities and safety competencies ensure work with hazardous materials is conducted safely within a laboratory facility.,2.01,Chemical hazards,Recognizes chemical hazards and chemical hazard communication,Explains chemical hazards and hazard communication,Implements hazard communica- tion procedures and training,Develops strategies to reduce chemical hazards based on risk assessments,N/A
CHM,1,2,Facilities and safety competencies ensure work with hazardous materials is conducted safely within a laboratory facility.,2.02,Safe work practices,Adheres to safe work practices related to chemical hazards,Explains safe work practices  policies  and procedures related to chemical hazards,Ensures staff compliance with policies  processes and proce- dures related to safe work prac- tices related to chemical hazards,Creates a culture of safety by ensuring that policies  processes and procedures regarding safe work practices related to chem- ical hazards are aligned with current standards and regulatory requirements,N/A
CHM,1,2,Facilities and safety competencies ensure work with hazardous materials is conducted safely within a laboratory facility.,2.03,Personal protective equipment (PPE),Adheres to policies  processes and procedures regarding PPE use,Explains the use of PPE,Ensures that staff are trained and comply with policies  processes and procedures regarding the use of PPE,Establishes policies  processes and procedures regarding the use of PPE,N/A
CHM,1,2,Facilities and safety competencies ensure work with hazardous materials is conducted safely within a laboratory facility.,2.04,Engineering controls,Adheres to policies  processes and procedures regarding the use of engineering controls,Explains the use of engineering controls,Ensures that staff are trained and comply with policies  processes and procedures regarding the use of engineering controls,Establishes policies  processes and procedures regarding the use of engineering controls,N/A
CHM,1,2,Facilities and safety competencies ensure work with hazardous materials is conducted safely within a laboratory facility.,2.05,Waste management related to samples,Adheres to policies  processes and procedures related to sample waste management,Explains sample waste manage- ment policies  processes and procedures,Establishes sample waste man- agement policies  processes and procedures,Oversees the sample waste man- agement plan,N/A
CHM,1,3,Pre-examination competencies ensure performance of chemistry pre-examination procedures.,3.01,Sample collection  labeling  and handling,Describes routine sample collec- tion  labeling  and handling poli- cies  processes and procedures for chemical examination,Consults on non-routine sample collection  labeling  and han- dling procedures for chemical examination,Monitors staff compliance with established policies  processes and procedures regarding chem- ical sample collection  labeling  and handling,Oversees the policies  processes and procedures for the collec- tion and handling of samples for chemical examination,N/A
CHM,1,3,Pre-examination competencies ensure performance of chemistry pre-examination procedures.,3.02,Packaging and shipping,Performs the packing and ship- ping of hazardous samples,Explains packing and shipping of hazardous samples,Ensures staff compliance with policies  processes and proce- dures regarding the packing and shipping of hazardous samples,Develops policies  processes and procedures to ensure staff com- pliance with packing and shipping regulations concerning hazardous samples,N/A
CHM,1,3,Pre-examination competencies ensure performance of chemistry pre-examination procedures.,3.03,Material transport,Practices and adheres to estab- lished policies  processes and procedures regarding trans- port of materials for chemical examination,Explains material transport poli- cies  processes and procedures,Develops material transport pro- cesses and procedures,Oversees the policies  processes and procedures for the trans- port of materials for chemical examination,N/A
CHM,1,3,Pre-examination competencies ensure performance of chemistry pre-examination procedures.,3.04,Chemical threats,Describes the policies  processes and procedures for the identifi- cation  handling  safety  appro- priateness and triage of samples containing chemical agents of concern,Adheres to policies  processes and procedures regarding the identification  handling  safety  appropriateness and triage of samples containing chemical agents of concern,Ensures staff compliance with policies  processes and proce- dures regarding the identification  handling  safety  appropriateness and triage of samples containing chemical agents of concern,Oversees the policies  processes and procedures regarding the identification  handling  safety  appropriateness and triage of samples containing chemical agents of concern,N/A
CHM,1,3,Pre-examination competencies ensure performance of chemistry pre-examination procedures.,3.05,Accessioning and receipt,Performs procedures for sample accessioning and receipt,Explains policies  processes and procedures regarding sample accessioning and receipt,Manages the policies  processes and procedures for sample accessioning and receipt,Designs policies  processes and procedures regarding sample accessioning and receipt,N/A
CHM,1,3,Pre-examination competencies ensure performance of chemistry pre-examination procedures.,3.06,Sample tracking,Performs systematic tracking of samples from receipt to final disposition,Explains policies  processes and procedures for the systematic tracking of samples from receipt to final disposition,Manages the policies  processes and procedures for the system- atic tracking of samples from receipt to final disposition,Designs policies  processes and procedures for the systematic tracking of samples from receipt to final disposition,N/A
CHM,1,3,Pre-examination competencies ensure performance of chemistry pre-examination procedures.,3.07,Sample evaluation and appropriateness for testing,Assesses appropriateness of routine samples for chemical examination,Explains appropriateness of routine and non-routine samples for chemical examination,Manages the policies  processes and procedures for assessment of routine and non-routine sample appropriateness for chemical examination,Establishes policies  processes and procedures regarding the assessment of routine and non-routine sample appropriate- ness for chemical examination,N/A
CHM,1,3,Pre-examination competencies ensure performance of chemistry pre-examination procedures.,3.08,Testing workflow*,Adheres to policies  processes and procedures regarding testing workflow,Explains policies  processes and procedures regarding testing workflow,Ensures laboratory processes and procedures include use of testing workflow,Develops policies  processes and procedures related to testing workflow,N/A
