code,assessment_version,competency_value,competency_text,subcompetency_value,subcompetency_text,beginner,competent,proficient,expert,na
MLD,1,1,General management competencies ensure sound management of laboratory operations.,1.01,Mission  vision and values,Contributes to activities that support the mission  vision  and values of the laboratory,Explains the relationships between activities that support the mission  vision  and values,Exemplifies the mission  vision and values for the laboratory,Develops the mission  vision and values for the laboratory,N/A
MLD,1,1,General management competencies ensure sound management of laboratory operations.,1.02,Organizational structure,Describes the organizational structure of the laboratory,Coordinates laboratory program structure to meet organizational needs,Adapts organizational structure to meet the laboratory’s mission and directives for laboratory programs,Oversees a process to ensure organizational structure meets the laboratory’s mission and directives for laboratory programs,N/A
MLD,1,1,General management competencies ensure sound management of laboratory operations.,1.03,Laws and regulations for laboratory operation,Complies with laws and reg- ulations related to laboratory operations,Implements program activities according to laws and regulations related to laboratory operations,Manages laboratory programs consistent with laws and reg- ulations related to laboratory operations,Ensures that laboratory pro- grams are consistent with inter- national  national and local laws and regulations,N/A
MLD,1,1,General management competencies ensure sound management of laboratory operations.,1.04,Technical operations management,Works collaboratively on technical and operational planning,Implements technical and opera- tional plans,Develops processes and pro- cedures to manage technical operations,Oversees the policies  processes and procedures related to the development and evaluation of technical operations,N/A
MLD,1,1,General management competencies ensure sound management of laboratory operations.,1.05,Emergency management and response,Describes emergency manage- ment policies and procedures,Operates within assigned roles when carrying out emergency management and response duties,Manages the emergency manage- ment and response plan at the programmatic level,Oversees laboratory-wide emer- gency management and response,N/A
MLD,1,1,General management competencies ensure sound management of laboratory operations.,1.06,Analytical and operational services,Describes the processes for intro- ducing improved analytical and operational services,Participates in improvement of analytical and operational services,Manages the improvement of analytical and operational services,Oversees funding and stakeholder relationships needed to imple- ment and improve analytical and operational laboratory services,N/A
MLD,1,1,General management competencies ensure sound management of laboratory operations.,1.07,Quality testing and services,Describes quality principles,Explains the importance of provid- ing quality laboratory testing and services,Evaluates the quality of services for continued quality improvement,Oversees the policies  processes and procedures to ensure the quality of laboratory testing and services,N/A
MLD,1,1,General management competencies ensure sound management of laboratory operations.,1.08,Customer service,Supports customer service needs,Evaluates customer service satis- faction and trends,Identifies strategies and activities to improve customer service,Oversees the policies  processes and procedures to ensure the laboratory maintains a customer focus,N/A
MLD,1,1,General management competencies ensure sound management of laboratory operations.,1.09,Project management,Uses basic project management concepts and tools,Directs the management of proj- ects at the programmatic level,Trains staff on project manage- ment techniques,Oversees project management across the laboratory,N/A
MLD,1,1,General management competencies ensure sound management of laboratory operations.,1.10,Program effectiveness,Contributes data for program effectiveness monitoring and evaluation,Analyzes data to assist in the monitoring and evaluation of program effectiveness,Directs activities to monitor and evaluate the effectiveness of laboratory programs,Oversees the policies  pro- cesses and procedures regard- ing the measurement  analysis and improvement of program effectiveness,N/A
MLD,1,2,Policy development competencies ensure the development  implementation and review of internal policies.,2.01,Internal policy development,Describes concepts pertinent to developing internal policies,Compiles important issues  lists of stakeholders  and various options and solutions for internal policy development,Prepares internal policies based on evaluation of short- and long- term consequences of potential policies,Oversees the internal policy development process,N/A
MLD,1,2,Policy development competencies ensure the development  implementation and review of internal policies.,2.02,Internal policy implementation,Complies with documented inter- nal policies and guidelines,Implements internal policies for a laboratory program,Ensures staff compliance with laboratory-wide policies,Oversees internal policy imple- mentation and staff compliance,N/A
MLD,1,2,Policy development competencies ensure the development  implementation and review of internal policies.,2.03,Internal policy review,Compiles internal policies to prepare for review and revision,Reviews internal policies for revi- sions and updates,Evaluates internal policies and develops amendments or updates to internal policies,Oversees the review process for internal policies,N/A
MLD,1,3,Financial management competencies ensure sound financial management.,3.01,Budgets,Complies with budgetary guidelines,Monitors staff compliance to the budget,Reconciles budget  expenditures and income,Oversees budgets  including development and staff compli- ance with agency and legislative mandates,N/A
MLD,1,3,Financial management competencies ensure sound financial management.,3.02,Revenue and income,Describes revenue sources asso- ciated with individual activities,Tracks revenue and income for a laboratory program,Manages revenue and income for the laboratory,Ensures that necessary revenue and income is secured,N/A
MLD,1,3,Financial management competencies ensure sound financial management.,3.03,Expenditures,Adheres to guidelines and limits for expenditures,Tracks expenditures for a labora- tory program,Ensures staff compliance with guidelines and limits for expenditures,Oversees the policies  process and procedures related to the cost of operations,N/A
